Bias,LLM Count>=0.5,LLM ValidN,LLM FrequencyRate,Human Count>=0.5,Human ValidN,Human FrequencyRate
Authority Bias,108,302,0.3576158940397351,106,315,0.33650793650793653
Survivorship Bias,27,302,0.08940397350993377,66,315,0.20952380952380953
Pessimism Bias,42,302,0.1390728476821192,74,315,0.23492063492063492
Zero-Risk Bias,88,302,0.2913907284768212,109,315,0.346031746031746
Hyperbolic Discounting,257,302,0.8509933774834437,195,315,0.6190476190476191
Identifiable Victim Effect,49,291,0.16838487972508592,62,315,0.19682539682539682
Appeal to Novelty,90,302,0.2980132450331126,52,315,0.16507936507936508
Urgency Effect,117,291,0.4020618556701031,125,315,0.3968253968253968
Curiosity,84,137,0.6131386861313869,195,315,0.6190476190476191
Conformity,19,137,0.1386861313868613,229,315,0.726984126984127
