Bias,N,Pearson,MAE,BinaryAgreement@0.5,BestCutoff,BinaryAgreement@BestCutoff
Authority Bias,309,0.721220163596135,0.20906148867313915,0.8349514563106796,0.7,0.8673139158576052
Survivorship Bias,309,-0.08880158746799723,0.282200647249191,0.7022653721682848,1.0,0.7896440129449838
Pessimism Bias,309,0.6051633788332779,0.17362459546925565,0.8349514563106796,0.2,0.8673139158576052
Zero-Risk Bias,309,0.45198434401082704,0.28511326860841424,0.7249190938511327,0.7,0.7411003236245954
Hyperbolic Discounting,309,0.5342042800364646,0.3080906148867314,0.7411003236245954,0.8,0.7734627831715211
Identifiable Victim Effect,298,0.5834866471215383,0.15,0.8557046979865772,0.4,0.8657718120805369
Appeal to Novelty,309,0.38319787804526473,0.26407766990291265,0.7508090614886731,0.9,0.8414239482200647
Urgency Effect,298,0.7436464136152708,0.20704697986577184,0.8657718120805369,0.5,0.8657718120805369
Curiosity,141,-0.08047657564630524,0.5163120567375887,0.44680851063829785,0.0,0.6170212765957447
Conformity,141,0.14205477042131584,0.5560283687943263,0.44680851063829785,0.0,0.6170212765957447
