Unnamed: 0,text,Authority Bias,Survivorship Bias,Pessimism Bias,Zero-Risk Bias,Hyperbolic Discounting,Identifiable Victim Effect,Appeal to Novelty,Urgency Effect,Curiosity,Conformity,text_translated,Language,Body,LLM Raw Response,LLM Parse Error,LLM Authority Bias,LLM Survivorship Bias,LLM Pessimism Bias,LLM Zero-Risk Bias,LLM Hyperbolic Discounting,LLM Identifiable Victim Effect,LLM Appeal to Novelty,LLM Urgency Effect,LLM Curiosity,LLM Conformity,LLM Blocked,LLM Block Reason,source_id,Human Authority Bias,Human Survivorship Bias,Human Pessimism Bias,Human Zero-Risk Bias,Human Hyperbolic Discounting,Human Identifiable Victim Effect,Human Appeal to Novelty,Human Urgency Effect,Human Curiosity,Human Conformity
0,1. 振作起来，你的小维度麻烦很快就会结束！成为一个没有女人能抗拒的情人！http://whitedone.com/come.即使纳粹坦克在街道上滚滚而来，梦想家、哲学家或记者。他仍然不确定。我也这么做。,0,0,1,0,0,0,0,0,1,0,"1. Cheer up, your little dimensional troubles will soon end! Become a lover that no woman can resist! http://whiteone.com/come. Even if Nazi tanks rolled down the streets, dreamers, philosophers or journalists. He is still not sure. I do the same.",Chinese,1. 振作起来，你的小维度麻烦很快就会结束！成为一个没有女人能抗拒的情人！http://whitedone.com/come.即使纳粹坦克在街道上滚滚而来，梦想家、哲学家或记者。他仍然不确定。我也这么做。,"```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.1,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.8,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.1,
  ""Curiosity bias"": 0.6,
  ""Conformity bias"": 0.0
}
```",,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.1,,,,,0,0,0,1,0,0,0,0,0,1,0
0,1. 振作起来，你的小维度麻烦很快就会结束！成为一个没有女人能抗拒的情人！http://whitedone.com/come.即使纳粹坦克在街道上滚滚而来，梦想家、哲学家或记者。他仍然不确定。我也这么做。,0,0,1,0,0,0,0,0,1,0,"1. Cheer up, your little dimensional troubles will soon end! Become a lover that no woman can resist! http://whiteone.com/come. Even if Nazi tanks rolled down the streets, dreamers, philosophers or journalists. He is still not sure. I do the same.",English,"1. Cheer up, your little dimensional troubles will soon end! Become a lover that no woman can resist! http://whiteone.com/come. Even if Nazi tanks rolled down the streets, dreamers, philosophers or journalists. He is still not sure. I do the same.","```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.8,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.1,
  ""Curiosity bias"": 0.5,
  ""Conformity bias"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,,,,,0,0,0,1,0,0,0,0,0,1,0
1,6. 我们有假冒的瑞士男士和女士手表，从劳力士到Popular Panerai手表更多信息请点击此处,0,0,0,0,0,0,0,0,1,1,"6. We have counterfeit Swiss men's and women's watches, from Rolex to Popular Panerai watches. For more information, click here",Chinese,6. 我们有假冒的瑞士男士和女士手表，从劳力士到Popular Panerai手表更多信息请点击此处,"```json
{
  ""Authority Bias"": 0.1,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.6,
  ""Conformity bias"": 0.1
}
```",,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,,,,,1,0,0,0,0,0,0,0,0,1,1
1,6. 我们有假冒的瑞士男士和女士手表，从劳力士到Popular Panerai手表更多信息请点击此处,0,0,0,0,0,0,0,0,1,1,"6. We have counterfeit Swiss men's and women's watches, from Rolex to Popular Panerai watches. For more information, click here",English,"6. We have counterfeit Swiss men's and women's watches, from Rolex to Popular Panerai watches. For more information, click here","```json
{
    ""Authority Bias"": 0.1,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.1,
    ""Urgency Effect"": 0.0,
    ""Curiosity"": 0.6,
    ""Conformity"": 0.3
}
```",,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.6,0.3,,,1,0,0,0,0,0,0,0,0,1,1
2,9. 不要合并您的债务   消除它！合法消除您的信用卡和其他无担保债务 * 无需向您的债权人再次付款 * 不会影响您的长期信用 * 没有对抗访问www.freshplatworks.com这不是：* 破产 * 合并 * 或任何类型的再融资访问此处http://freshplateworks.com了解如何 * 必须有至少1万美元的家庭无担保债务申请。* 必须是美国居民。,0,0,1,0,0,0,0,0,1,0,"9. Don't consolidate your debt   Eliminate it! Legally eliminate your credit cards and other unsecured debt * No need to make repayments to your creditors * No impact on your long-term credit * No confrontation Visit www.freshplatworks.com This is not: * Bankruptcy * Consolidation * or any type of refinancing Visit here http://freshplateworks.com Learn how to * There must be at least $10,000 in family unsecured debt filing. * Must be a U.S. resident.",Chinese,9. 不要合并您的债务   消除它！合法消除您的信用卡和其他无担保债务 * 无需向您的债权人再次付款 * 不会影响您的长期信用 * 没有对抗访问www.freshplatworks.com这不是：* 破产 * 合并 * 或任何类型的再融资访问此处http://freshplateworks.com了解如何 * 必须有至少1万美元的家庭无担保债务申请。* 必须是美国居民。,"```json
{
    ""Authority Bias"": 0.1,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.8,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.7,
    ""Urgency Effect"": 0.0,
    ""Curiosity bias"": 0.6,
    ""Conformity bias"": 0.0
}
```",,0.1,0.0,0.8,0.9,0.9,0.0,0.7,0.0,,,,,2,0,0,1,0,0,0,0,0,1,0
2,9. 不要合并您的债务   消除它！合法消除您的信用卡和其他无担保债务 * 无需向您的债权人再次付款 * 不会影响您的长期信用 * 没有对抗访问www.freshplatworks.com这不是：* 破产 * 合并 * 或任何类型的再融资访问此处http://freshplateworks.com了解如何 * 必须有至少1万美元的家庭无担保债务申请。* 必须是美国居民。,0,0,1,0,0,0,0,0,1,0,"9. Don't consolidate your debt   Eliminate it! Legally eliminate your credit cards and other unsecured debt * No need to make repayments to your creditors * No impact on your long-term credit * No confrontation Visit www.freshplatworks.com This is not: * Bankruptcy * Consolidation * or any type of refinancing Visit here http://freshplateworks.com Learn how to * There must be at least $10,000 in family unsecured debt filing. * Must be a U.S. resident.",English,"9. Don't consolidate your debt   Eliminate it! Legally eliminate your credit cards and other unsecured debt * No need to make repayments to your creditors * No impact on your long-term credit * No confrontation Visit www.freshplatworks.com This is not: * Bankruptcy * Consolidation * or any type of refinancing Visit here http://freshplateworks.com Learn how to * There must be at least $10,000 in family unsecured debt filing. * Must be a U.S. resident.","```json
{
  ""Authority Bias"": 0.1,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.7,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.8,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.7,
  ""Urgency Effect"": 0.1,
  ""Curiosity"": 0.6,
  ""Conformity"": 0.0
}
```",,0.1,0.0,0.7,0.8,0.8,0.0,0.7,0.1,0.6,0.0,,,2,0,0,1,0,0,0,0,0,1,0
3,10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com功能：专业页面布局、图像编辑、载体插图和印刷制作网站设计、开发、原型制作和博客创建丰富的交互式内容行业标准的视觉效果和动画图形视频捕获、编辑和制作; DVD标题;和数字音频,1,0,0,0,0,0,0,0,1,0,"10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com Features: Professional page layout, image editing, carrier illustration and print production Website design, development, prototyping and blog creation Rich interactive content Industry-standard visual effects and animated graphics video capture, editing and production; DVD titles; and digital audio",Chinese,10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com功能：专业页面布局、图像编辑、载体插图和印刷制作网站设计、开发、原型制作和博客创建丰富的交互式内容行业标准的视觉效果和动画图形视频捕获、编辑和制作; DVD标题;和数字音频,"```json
{
    ""Authority Bias"": 0.4,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Curiosity"": 0.1,
    ""Conformity"": 0.0
}
```",,0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,,,3,1,0,0,0,0,0,0,0,1,0
3,10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com功能：专业页面布局、图像编辑、载体插图和印刷制作网站设计、开发、原型制作和博客创建丰富的交互式内容行业标准的视觉效果和动画图形视频捕获、编辑和制作; DVD标题;和数字音频,1,0,0,0,0,0,0,0,1,0,"10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com Features: Professional page layout, image editing, carrier illustration and print production Website design, development, prototyping and blog creation Rich interactive content Industry-standard visual effects and animated graphics video capture, editing and production; DVD titles; and digital audio",English,"10. Adobe Creative Suite 3 Master Collection for Winhttp：//oemmerchant. com Features: Professional page layout, image editing, carrier illustration and print production Website design, development, prototyping and blog creation Rich interactive content Industry-standard visual effects and animated graphics video capture, editing and production; DVD titles; and digital audio","```python
{
    ""Authority Bias"": 0.3,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.9,
    ""The Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.0,
    ""The Urgency Effect"": 0.0,
    ""Curiosity"": 0.1,
    ""Conformity"": 0.0
}
```",,0.3,0.0,0.0,0.0,0.9,,0.0,,0.1,0.0,,,3,1,0,0,0,0,0,0,0,1,0
4,13. expresssherbals http://pacelike.com第一个月，您会注意到尺寸增加了1/2英寸，您还会注意到性欲增加、勃起更强和性行为更愉快。第二个月，您会注意到尺寸增加了1英寸，周长（宽度）增加了5%，以及第一个月的所有好处。第三个/第四个月，您会注意到尺寸增加了3英寸，周长（宽度）增加了10%，以及第一个月的所有好处。第五个/第六个月，您会注意到尺寸增加了4英寸，周长（宽度）增加了20%，以及第一个月的所有好处。,0,0,0,0,0,0,0,0,1,0,"13. Expresssherbals http://pacelike.com In the first month, you will notice a 1/2-inch increase in size, and you will also notice increased libido, stronger erections and more pleasant sex. The second month, you'll notice a 1-inch increase in size, a 5- % increase in circumference (width), and all the benefits of the first month. For the third/fourth month, you'll notice a 3-inch increase in size, a 10% increase in circumference (width), and all the benefits of the first month. For the fifth/sixth month, you'll notice a 4-inch increase in size, a 20% increase in circumference (width), and all the benefits of the first month.",Chinese,13. expresssherbals http://pacelike.com第一个月，您会注意到尺寸增加了1/2英寸，您还会注意到性欲增加、勃起更强和性行为更愉快。第二个月，您会注意到尺寸增加了1英寸，周长（宽度）增加了5%，以及第一个月的所有好处。第三个/第四个月，您会注意到尺寸增加了3英寸，周长（宽度）增加了10%，以及第一个月的所有好处。第五个/第六个月，您会注意到尺寸增加了4英寸，周长（宽度）增加了20%，以及第一个月的所有好处。,"```json
{
  ""Authority Bias"": 0.1,
  ""Survivorship Bias"": 0.1,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.9,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.2,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.3,
  ""Conformity bias"": 0.0
}
```",,0.1,0.1,0.0,0.0,0.9,0.0,0.2,0.0,,,,,4,0,0,0,0,0,0,0,0,1,0
4,13. expresssherbals http://pacelike.com第一个月，您会注意到尺寸增加了1/2英寸，您还会注意到性欲增加、勃起更强和性行为更愉快。第二个月，您会注意到尺寸增加了1英寸，周长（宽度）增加了5%，以及第一个月的所有好处。第三个/第四个月，您会注意到尺寸增加了3英寸，周长（宽度）增加了10%，以及第一个月的所有好处。第五个/第六个月，您会注意到尺寸增加了4英寸，周长（宽度）增加了20%，以及第一个月的所有好处。,0,0,0,0,0,0,0,0,1,0,"13. Expresssherbals http://pacelike.com In the first month, you will notice a 1/2-inch increase in size, and you will also notice increased libido, stronger erections and more pleasant sex. The second month, you'll notice a 1-inch increase in size, a 5- % increase in circumference (width), and all the benefits of the first month. For the third/fourth month, you'll notice a 3-inch increase in size, a 10% increase in circumference (width), and all the benefits of the first month. For the fifth/sixth month, you'll notice a 4-inch increase in size, a 20% increase in circumference (width), and all the benefits of the first month.",English,"13. Expresssherbals http://pacelike.com In the first month, you will notice a 1/2-inch increase in size, and you will also notice increased libido, stronger erections and more pleasant sex. The second month, you'll notice a 1-inch increase in size, a 5- % increase in circumference (width), and all the benefits of the first month. For the third/fourth month, you'll notice a 3-inch increase in size, a 10% increase in circumference (width), and all the benefits of the first month. For the fifth/sixth month, you'll notice a 4-inch increase in size, a 20% increase in circumference (width), and all the benefits of the first month.","```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.8,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.2,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.7,
  ""Conformity bias"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,,,,,4,0,0,0,0,0,0,0,0,1,0
