Bias,Human Count>=0.5,Human ValidN,Human FrequencyRate,LLM Count>=0.5,LLM ValidN,LLM FrequencyRate
Authority Bias,256,342,0.7485380116959064,220,345,0.6376811594202898
Hyperbolic Discounting,182,342,0.5321637426900585,155,345,0.4492753623188406
Urgency Effect,141,328,0.4298780487804878,118,326,0.3619631901840491
Zero-Risk Bias,140,342,0.4093567251461988,129,345,0.3739130434782609
Pessimism Bias,137,342,0.40058479532163743,119,345,0.34492753623188405
Curiosity,51,197,0.25888324873096447,67,216,0.3101851851851852
Identifiable Victim Effect,67,328,0.20426829268292682,10,328,0.03048780487804878
Appeal to Novelty,51,342,0.14912280701754385,62,345,0.17971014492753623
Conformity,12,197,0.06091370558375635,3,216,0.013888888888888888
Survivorship Bias,4,342,0.011695906432748537,0,345,0.0
