Unnamed: 0,EmailId,BaseEmailID,Author,Style,Type,Sender Style,Sender,Subject,Sender Mismatch,Request Credentials,Subject Suspicious,Urgent,Offer,Link Mismatch,Prompt,Body,LLM Raw Response,LLM Parse Error,LLM Authority bias,LLM Scarcity bias,LLM Urgency bias,LLM Anchoring effect,LLM Conformity bias,LLM Overconfidence,LLM Familiarity bias,SelectedEmailType,SelectionMethod
1106,1106,276,GPT,Plaintext,ham,Arizona University,nhennessey@arizona.edu,Dr. Blowers needs a preceptor,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Arizona University. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"





Arizona University



Dear Student,
We are writing to update you about the upcoming on-campus events. The detailed schedule will be shared shortly in your student portal.
We are looking forward to your presence there and seeing you take part in these enriching opportunities.
Best,
Arizona University Events Team



","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.0,0,0.0,ham,balanced_single_and_pair_presence
796,796,199,Human,Plaintext,ham,UPS,mcinfo@ups.com,Your New UPS My Choice Membership,0,0,0,0,0,0,,"Welcome to UPS My Choice, Sophia. UPS My Choice driver Your new membership is ready to use. Manage delivery alerts, request changes, and set preferences to make deliveries more convenient for your schedule. UPS My Choice Membership Information Delivery Address: 280 North Craig Apt G4 pittsburgh, PA 15213, US You can change your preferences or renewal options anytime: Just log into your <a onclick=""javascript:return false;""  href=""http://www.ups.com"" class=""link"">ups.com</a> profile. If you'd like a reminder about what your membership includes, check out the full list of benefits. Thanks for being a great customer. Sincerely, Your UPS My Choice Team","```json
{
  ""Authority bias bias"": 0.0,
  ""Scarcity bias bias"": 0.0,
  ""Urgency bias bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias bias"": 0.0
}
```",,,,,,,0,,ham,balanced_single_and_pair_presence
868,868,217,Human,Plaintext,ham,Attack IQ,events@attackiq.com,Mapping Defensive Capabilities to Adversary Behavior: Thank you for registering - Here is your confirmation,0,0,0,0,0,0,,"Webinar ""Mapping Defensive Capabilities to Adversary Behavior"" Thank you for registering for our ""Mapping Defensive Capabilities to Adversary Behavior"" webinar. Need to add to your calendar? Add to Calendar To attend the event please go here: <a onclick=""javascript:return false;""  href=""https://global.gotowebinar.com/join/7024422845210942977/917482965"" class=""link"">https://global.gotowebinar.com/join/7024422845210942977/917482965</a> This URL is specific to you so it will not work for others if you try and forward. Thank you, AttackIQ Marketing","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,,0.0,0,0.0,ham,balanced_single_and_pair_presence
1146,1146,286,GPT,Plaintext,ham,Apple,support@apple.com,Apple iCloud Security ,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Apple. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Security Update Information







Security Update Information


Dear User,
We have recently updated our security policy. If you wish to learn more about these changes, please visit our website by navigating to it directly through your browser. Always remember to check the website URL to ensure you are visiting our official website.
Stay Safe,
Apple Security Team



<a onclick=""javascript:return false;""  href=""https://support.apple.com/"" class=""link"">this link</a>","```json
{
    ""Authority bias"": 0.0,
    ""Scarcity bias"": 0.0,
    ""Urgency bias"": 0.0,
    ""Anchoring effect"": 0.0,
    ""Conformity bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.0,0,0.0,ham,balanced_single_and_pair_presence
1190,1190,297,GPT,Plaintext,ham,Change,mthompson@change.org,Signatures Needed ,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Change. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Change Email





Welcome to Change


Important Information Regarding Your Account


Dear User,
We appreciate your engagement with us at Change. We are here to 
        assure you that our priority is your satisfaction and the safe handling 
        of the personal information you entrust with us.
For any account related changes, please log in to your account through our official website.
Kind Regards,
Your Change Team



<a onclick=""javascript:return false;""  href=""http://www.change.org/agripure/"" class=""link"">this link</a>","```python
{
    ""Authority bias bias"": 0.0,
    ""Scarcity bias bias"": 0.0,
    ""Urgency bias bias"": 0.0,
    ""Anchoring effect bias"": 0.0,
    ""Conformity bias bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias bias"": 0.0
}
```",,,,,,,0,,ham,balanced_single_and_pair_presence
828,828,207,Human,Plaintext,ham,Appolo University,blockchain@talentsearch.com,Blockchain Executive Program January 2023,0,0,0,0,1,0,,"Hello David, Congratulations! Based on your application, you have been selected for the Blockchain Executive Program January 2023 Cohort at Appolo University. Next Step: ENROLL FOR THE PROGRAM You can enroll for the Program using either of the two options below: Option 1: You can join the program by clicking the link below. The final Program Fee that you need to remit after considering your scholarship eligibility is updated at the link below. Use Option 1 in the payment options to be able to join the Program. <a onclick=""javascript:return false;""  href=""https://www.talentsearch.com/requested-amount.dpl?payment_id=11243&i=2750&t=d334f5aa4b8aee2b46fe6d"" class=""link"">https://www.talentsearch.com/requested-amount.dpl?payment_id=11243&i=2750&t=d334f5aa4b8aee2b46fe6d</a> You can pay using your own sources or opt for a 9 to 24 EMI Option. For more details, contact your Relationship Manager Sarah @ +1-64589723458 Enrollments are on first-come-first-served basis. As there are limited seats, you are requested to enroll on time. Kindly note that we will not be able to hold the seat as there are other candidates awaiting their turn. For any queries, get in touch with your Relationship Manager Sarah @ +1-64589723458 Once again, we are pleased to welcome you to this Program. Sincerely, Appolo University | TalentSearch","```json
{
  ""Authority bias"": 0.8,
  ""Scarcity bias"": 0.9,
  ""Urgency bias"": 0.5,
  ""Anchoring effect bias"": 0.4,
  ""Conformity bias"": 0.3,
  ""Overconfidence bias"": 0.6,
  ""Familiarity bias"": 0.2
}
```",,0.8,0.9,0.5,,0.3,1,0.2,ham,balanced_single_and_pair_presence
1282,1282,320,GPT,Plaintext,ham,A Personal Email,jenny@jennyshoney.com,Hello!,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from A Personal Email. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Professional Email








Hello,
This is a professional email sent from a personal email address. We wanted to bring to your attention a discussion topic we thought might interest you. We're not asking for any sensitive information or link clicking, just a simple reply whether you find this topic interesting.
Thank you for your time and have a good day.

Visit our site

Best Regards,
John Doe



<a onclick=""javascript:return false;""  href=""http://www.jennyshoney.com/blog/"" class=""link"">my blog</a>","```json
{
    ""Authority bias"": 0.0,
    ""Scarcity bias"": 0.0,
    ""Urgency bias"": 0.0,
    ""Anchoring effect"": 0.0,
    ""Conformity bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.0,0,0.0,ham,balanced_single_and_pair_presence
978,978,244,GPT,Plaintext,ham,Bank of America,no_reply@bankofamerica.com,Confirmation: Address or Phone Number Changed,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Bank of America. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"





Bank of America



Dear valued customer,
We would like to keep you updated regarding our changes in policy and services. We encourage you to stay informed by regularly visiting our website or contacting our customer support services.
Please note that Bank of America will never request your personal credentials via email. Always ensure to securely login to your account through our official website.
If you have any queries, feel free to reach out to our customer service at any time. Your security is our top priority.
Best regards,Bank of America Customer Service
Visit our website



","```json
{
    ""Authority bias"": 0.0,
    ""Scarcity bias"": 0.0,
    ""Urgency bias"": 0.0,
    ""Anchoring effect bias"": 0.0,
    ""Conformity bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,,0.0,0,0.0,ham,balanced_single_and_pair_presence
1234,1234,308,GPT,Plaintext,ham,Change,jolson@change.org,Tucson's Animal Petition ,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Change. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"





Welcome to Change


Your journey begins here



            Hello,
        

            We're glad to have you with us. In order to get the best experience, we invite you to explore our platform and discover how Change works. 
        

            If you need any help navigating or understanding a feature, our support team is available to help. You can find our contact details on the Change website.
        

            Thank you for choosing Change. We're excited to be part of your journey!
        

            Best Regards,
            
            The Change Team
        



<a onclick=""javascript:return false;""  href=""http://www.change.org/tucsonanimalrights/"" class=""link"">our website</a>","```python
{
    ""Authority bias"": 0.0,
    ""Scarcity bias"": 0.0,
    ""Urgency bias"": 0.0,
    ""Anchoring effect bias"": 0.0,
    ""Conformity bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,,0.0,0,0.0,ham,balanced_single_and_pair_presence
1258,1258,314,GPT,Plaintext,ham,A Personal Email,jbryant@bumc.com,Message Received,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from A Personal Email. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"





A Personal Email


Welcome to our monthly newsletter!


Hello [First_Name],
We are excited to have you <a onclick=""javascript:return false;""  href=""http://www.bettyscorner.com/lastwords/"" class=""link"">here</a>. This monthly newsletter will provide you information about the updates and happenings around our organization.
If you have any questions or need further information, feel free to reply to this email.
Kind regards,
[Your_Name]


","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.1
}
```",,0.0,0.0,0.0,0.0,0.0,0,0.1,ham,balanced_single_and_pair_presence
