Unnamed: 0,EmailId,BaseEmailID,Author,Style,Type,Sender Style,Sender,Subject,Sender Mismatch,Request Credentials,Subject Suspicious,Urgent,Offer,Link Mismatch,Prompt,Body,LLM Raw Response,LLM Parse Error,LLM Authority Bias,LLM Survivorship Bias,LLM Negativity Bias,LLM Zero-Risk Bias,LLM Hyperbolic Discounting,LLM Identifiable Victim Effect,LLM Urgency Effect,LLM Conformity
0,0,1,Human,Plaintext,phishing,Powerball,noreply@powerballs.com,You Have Won!,0,1,1,1,1,1,,"PLEASE DO NOT RESPOND TO THIS EMAIL Records show that you entered to win the state's powerball jackpot on 11/15/2022. You are receiving this email because you have been listed as one of the winners. To claim your prize please visit the site below and fill out all information needed to collect. You must process all information within a weeks time or you may lose out on your winnings. Congratulations! Collect your earnings! <a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">please click here</a> Your prompt response regarding this matter is appreciated. Sincerely, Powerball Team","```json
{
    ""Authority Bias"": 0.6,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.1,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity bias"": 0.2
}
```",,0.6,0.0,0.1,0.8,0.9,0.0,0.9,
2,2,1,GPT,Plaintext,phishing,Powerball,noreply@powerballs.com,You Have Won!,0,1,1,1,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Powerball. Ensure that the email does not have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"
Powerball Email





Powerball Lottery



ALERT: Your Account has been COMPROMISED!

            We have detected UNUSUAL ACTIVITY on your account! In order to preserve your winnings, we are REQUIRED to verify your account immediately!
        

            Click here to update your account and ensure your winnings are secure. DON'T DELAY, this link will EXPIRE in 24 HOURS!
        

            As a valued customer, we're offering you a FREE ticket for next week's draw upon successful verification!
        

            Regards,
            
            Powerball Support
            
support@powerball.com




<a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">please click here</a>","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.8,0.0,1.0,
4,4,2,Human,Plaintext,phishing,Paypal,noreply@paypalceo.com,PayPal Breach,1,1,1,1,1,1,,"RESPONES TO THIS EMAIL WILL NOT BE VIEWED Dear member, As part of the Paypal team, we are here to inform you of attacks on the system early yesterday morning. Your account has been flagged as being one of the many that were breached. Please log onto the site and fill out all the information needed for the system to scan and detect any fradulent behaviors. If you verify your information and help with the case, your account will be rewarded $10 for promptness and assisting the investigation <a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">Verify Information</a> Thank you, Paypal CEO","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.1,
    ""Urgency Effect"": 0.7,
    ""Conformity"": 0.3
}
```",,0.9,0.0,0.9,0.8,0.8,0.1,0.7,0.3
6,6,2,GPT,Plaintext,phishing,Paypal,noreply@paypalceo.com,PayPal Breach,1,1,1,1,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Paypal. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"
Fake Email Template







Important: Update Your PayPal Account Immediately!

Dear User,We have detected unusual activity on your PayPal account. To secure your account, please verify your identity. We have limited certain features in your account for security reasons. Click the button below to verify your account.
Verify Account
Clicking the button will prompt you to enter your login credentials on a secure window. Do it as soon as possible to avoid account termination.
Also, we are pleased to offer you a special 20% discount on your next transaction after your identity verification. This offer ends in 24 hours, so be quick!
Best Regards,Fake PayPal Support Team
P.S. This email was sent from an unexpected address (unexpected-paypal-support@gmail.com) because we are testing a new mailing system.




<a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">Verify Information</a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.9,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 1.0,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.9,0.7,0.0,1.0,0.0
8,8,3,Human,Plaintext,phishing,Chase Bank,support@credit.chase.com,URGENT: Fraudulent activity detected,1,1,1,1,1,1,,"Hello, We are writing to inform you that on 11/13/22, a suspicious charge of $2,334 was made to your Chase Freedom(R) Credit Card. To protect your account safety, we have frozen your credit card. To reactivate your card and confirm/dispute the charges, please login to your account via the following link: <a onclick=""javascript:return false;""  href=""http://www.chasecreditcard.com/reactivate"" class=""link"">www.chasecreditcard.com/reactivate</a> Your credit card will remain suspended until action is taken. If you have any questions, you may submit a question through the Chase Customer Service Portal- Thank you for your response, Holly Redig JP Morgan Chase Bank","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.1,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.5,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.1,0.9,0.8,0.7,0.5,1.0,0.0
10,10,3,GPT,Plaintext,phishing,Chase Bank,support@credit.chase.com,URGENT: Fraudulent activity detected,1,1,1,1,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Chase Bank. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"





Chase Bank Alert


URGENT: Your Account is at Risk


Dear customer,
Your Chase bank account appears to have suspicious activities. To protect your data, we need you to urgently click the link below to verify your information.
Please log in by clicking here.
If you don't act promptly, your account may be suspended.


As a token of our appreciation for your patience and understanding, we are offering you a $100 credit towards your next month bill.


Thank you for being a valued Chase Bank customer
Best,
Chase Support
support@chasesecuredprotection.net



<a onclick=""javascript:return false;""  href=""http://www.chasecreditcard.com/reactivate"" class=""link"">www.chasecreditcard.com/reactivate</a>","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,1.0,0.0
12,12,4,Human,Plaintext,phishing,GoFundMe,mary@yahoo.com,Donations needed for Mark,0,1,0,1,0,0,,"Hello, I'm contacting you through Mark's email contact list. In case you didn't know, Mark is in the hospital with a life threatening condition. We are trying to collect some money to help Mark and his family pay for his medical bills. If we cannot pay Mark's bills, Mark will be removed from life support. His bills are estimated at $400,000. If you could spare some change for Mark's cause, it would really help him. You can donate through Mark's Go Fund Me page at <a onclick=""javascript:return false;""  href=""http://gofundme.com/MarkAccident"" class=""link"">gofundme.com/MarkAccident</a>. Thank you for your generosity. Mary (Family friend of Mark)","```python
{
    ""Authority Bias"": 0.1,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.1,
    ""Hyperbolic Discounting"": 0.0,
    ""Identifiable Victim Effect"": 1.0,
    ""Urgency Effect"": 0.9,
    ""Conformity bias"": 0.5
}
```",,0.1,0.0,0.9,0.1,0.0,1.0,0.9,
14,14,4,GPT,Plaintext,phishing,GoFundMe,mary@yahoo.com,Donations needed for Mark,0,1,0,1,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from GoFundMe. Ensure that the email does not have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"

GoFundMe

Dear GoFundMe user,
We have noticed some unusual activity on your account and we urge you to verify your credentials. This step is essential for the protection of your account.
Please click here to securely verify your account.
Thank you,
GoFundMe Support Team



<a onclick=""javascript:return false;""  href=""http://gofundme.com/MarkAccident"" class=""link"">gofundme.com/MarkAccident</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.6,
    ""Identifiable Victim Effect"": 0.7,
    ""Urgency Effect"": 0.7,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.9,0.6,0.7,0.7,0.0
16,16,5,Human,Plaintext,phishing,Amazon,support@security.amazon.com,Your Amazon Account ,1,1,0,1,0,1,,"The account number associated with your email address has been suspended. Account Number : 108-4596473-8009841 FF Dear Valued Customer, We were unable to validate important details about your Amazon Shopping account. Your Amazon Shopping account has been suspended until all verification steps have been completed. We are sorry for any inconvience and we look forward to having you as a customer again, thank you for you prompt attention to this matter. Please visit your account details to confirm the payment information for your account. <a onclick=""javascript:return false;""  href=""http://Amazon-Security.html"" class=""link"">Verify Account Information</a> Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2017, Amazon.com, Inc. or its affiliates 11/10/2022","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.1,
    ""Urgency Effect"": 0.8,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.1,0.8,0.0
18,18,5,GPT,Plaintext,phishing,Amazon,support@security.amazon.com,Your Amazon Account ,1,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Amazon. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"








Important: Please verify your account immediately

            Dear customer,
            
            Due to recent activity, we need to verify the data on your account.
            We kindly ask you to click the link below and verify your login credentials.
        
http://amazon.com/verify
We apologize for any inconvenience and appreciate your understanding.
Best regards,
The Amqzon Team



<a onclick=""javascript:return false;""  href=""http://Amazon-Security.html"" class=""link"">Verify Account Information</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.7,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.7,0.9,0.8,0.0,0.9,
