,StartDate,EndDate,Status,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,mobilet_PageSubmit,Q1_Browser,Q1_Version,Q1_OperatingSystem,Q1_Resolution,consent,Condition,dv,dv_t,age,sex,sex_3_TEXT,langdiffi,langdiffi_2_TEXT,techdiffi,techdiffi_2_TEXT,comments,FL_19_DO
0,13924693165.0,13924693211.000002,0.0,100.0,45.0,1.0,13924693211.000002,R_2dto2M0CL9j6fX1,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,7.0,9.867,40.0,1.0,,1.0,,1.0,,,Human
1,13924693442.0,13924693476.999998,0.0,100.0,35.0,1.0,13924693478.000002,R_692O7xNtto2KlA5,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,4.0,7.504,26.0,1.0,,1.0,,1.0,,,Human
2,13924693561.0,13924693591.999998,0.0,100.0,30.0,1.0,13924693591.999998,R_6wAA9v9ylIBkWsw,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,9.0,11.7,41.0,2.0,,1.0,,1.0,,,AI
3,13924693971.999998,13924694004.0,0.0,100.0,31.0,1.0,13924694004.0,R_7OjlY13LJRIqGy9,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,9.0,10.407,32.0,2.0,,1.0,,1.0,,,AI
4,13924694185.999998,13924694227.0,0.0,100.0,41.0,1.0,13924694228.0,R_31j1EbHjBi74Aap,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,Human,6.0,18.484,22.0,2.0,,1.0,,1.0,,,Human
5,13924694185.0,13924694256.000002,0.0,100.0,70.0,1.0,13924694256.000002,R_1cu2xgbiboqC5EG,anonymous,EN,,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,1.0,Human,4.0,12.829,53.0,1.0,,1.0,,1.0,,,Human
6,13924694239.0,13924694299.999998,0.0,100.0,60.0,1.0,13924694299.999998,R_1COe9yRDm30EiWN,anonymous,EN,,Chrome,109.0.0.0,Windows NT 10.0,1440x900,1.0,Human,5.0,19.292,51.0,2.0,,1.0,,1.0,,,Human
7,13924694312.999998,13924694361.999998,0.0,100.0,49.0,1.0,13924694363.0,R_7f245MDcTlKno9f,anonymous,EN,,Chrome,116.0.0.0,Macintosh,1280x800,1.0,AI,9.0,10.854,37.0,2.0,,1.0,,1.0,,,AI
8,13924694500.0,13924694533.0,0.0,100.0,33.0,1.0,13924694533.0,R_1CINFWsIwncpQXL,anonymous,EN,,Firefox,121,Windows NT 10.0,1536x864,1.0,AI,9.0,9.187,30.0,1.0,,1.0,,1.0,,,AI
9,13924694470.000002,13924694537.0,0.0,100.0,66.0,1.0,13924694538.0,R_1ToAfmSOcnJZWOa,anonymous,EN,,Safari,17.2,Macintosh,1728x1117,1.0,Human,6.0,18.818,68.0,1.0,,1.0,,1.0,,,Human
10,13924694549.0,13924694588.000002,0.0,100.0,39.0,1.0,13924694589.0,R_73nwzLP8B6xQKAx,anonymous,EN,,Chrome,119.0.0.0,CrOS x86_64 14541.0.0,1536x864,1.0,Human,6.0,11.3,46.0,2.0,,1.0,,1.0,,,Human
11,13924694686.0,13924694712.0,0.0,100.0,25.0,1.0,13924694712.0,R_1FrdRnHIUND2Y2M,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,8.0,4.58,36.0,2.0,,1.0,,1.0,,,AI
12,13924694740.000002,13924694820.0,0.0,100.0,79.0,1.0,13924694820.0,R_5EcoSca0PRPZmC1,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1600x900,1.0,AI,8.0,18.727,34.0,2.0,,1.0,,1.0,,,AI
